nid	mid	fields
1671365549942	1656929491595	What are the two most important models of evolution called?	<img src="53533635.png">
1671365719973	1656929491595	Describe what the gradualism theory of evolutions states?	This is theory that states that change comes about gradually in nature as opposed to large steps.
1671365895851	1656929491595	Describe in brief what the Punctuated equilibrium model of evolution states.	Punctuated equilibrium is a theory that proposes that once a species appears in the fossil record, the population will become stable, showing little evolutionary change for most of its geological history. When significant evolutionary change does occur, the theory proposes that it is generally restricted to rare and geologically rapid events of branching speciation, instead of species being gradually converted into another species.
1671366142836	1656929491595	Explain the experiment that Dianne Dodd did with fruit flies at Yale, and what we can derive from it.	Dianne Dodd took an initial sample of fruit flies, and then separated them into two populations. One was put in a starch medium, the other was put in a maltose medium.<br>After several generations, these two population were again allowed to intermingle.<br>It was seen that after they were united, the flies preferred to mate with flies of their own population.<br><br><img src="39068983.png"><br>This showed that under allopatric conditions such as these, the reproductive isolation can begin.
1671367248270	1656929491595	What are the kinds of reproductive barriers? Just Name them	1. Pre-zygotic (before fertilization)<br>2. Post-zygotic (after fertilization)
1671367311172	1656929491595	What are the kinds of pre-zygotic reproductive barriers? Name them (4)	1. Habitat<br>2. Temporal<br>3. Mechanical<br>4. Behavioural
1671367340855	1656929491595	Name the types of post-zygotic reproductive barriers? (2)	1. Gametic<br>2. Hybrid
1671367541301	1656929491595	What is temporal reproductive barrier? Provide an example.	When the members of tho two populations undergo the mating process at different times.<br>Ex - different populations of cicadas emerge at different time intervals, and thus they face a temporal reproductive barrier.
1671367595660	1656929491595	What is mechanical reproductive isolation?	It is a type of reproductive isolation that occurs when the reproductive parts of members of two population are no longer compatible due to some mutation.
1671367681564	1656929491595	What is behavourial reproductive isolation? Give an example.	It is when the mating signals between members of two different species is no longer understood by the other.<br>Ex - Eastern and Western Meadow larks in NYC have developed different calls and songs, thus facing a behavourial reproductive isolation.
1671368738136	1656929491595	What is gametic reproductive isolation?	Due to molecular incompatibility of the gametes, fertilisation can not happen in such cases.<br>Ex - Purple and red sea urchin.
1671373129737	1656929491595	What is hybrid sterility	This is a type of reproductive isolation where the offspring of two organisms from different species is sterile, and thus can not reproduce.
1671373219870	1656929491595	Why are hybrids often sterile?	Hybrids often have different number of chromosomes from different species, and thus the chromosomes can not pair up during meiosis.
1671373496436	1656929491595	What kind of speciation does the case of the apple maggot fly and the hawthorn fly demonstrate, and why?	They demonstrate a case of&nbsp;<b>sympatric speciation</b>. This is because the speciation occurs within the population without the geographical seperation that allopatric speciation entails. They developed separate behaviours or choices that isolate them.
1671373680494	1656929491595	Explain how the theory of Pangenesis explain inheritance of characteristics in living organisms.	Ancient Greek physician Hippocrates suggested that particles call 'Pangenes' travel from each part of an organism's body to the eggs or sperm and then are passed onto the next generation.
1671373728077	1656929491595	Why was the Pangenesis theory wrong?	Because it was later seen (Weismann Barrier) that the changes in the somatic cells of an organism does not affect the sperms and eggs of the organism.
1671373794804	1656929491595	Why is the blending hypothesis of inheritance proven to be wrong?	It is because it can not explain how traits that dissapear in one generation can reappear in the next generation.
1671373820681	1656929491595	What is Heredity?	It is the transmission of traits from one generation to the next.
1671373850437	1656929491595	What is the field of genetics?	It is the scientific study of the field of genetics.
1671373905730	1656929491595	What are true breeding organisms?	A true breeding organism is something that if self-fertilized, gives the same traits as the previous generation, always.
1671374963678	1656929491595	In the Mendelian monohybrid cross, what is the ratio of the dominant gene to the recessive genes?	3:1
1671375224428	1656929491595	What is a homozygous and heterozygous genotype?	When the organism has two copies of the same allele, it is called homozygous genotype.<br>When it has two different copies of alleles, we can say that it is a heterozygous genotype.
1671375824074	1656929491595	Draw the dihybrid cross and write down the phenotypic and genotypic ratios.	<img src="12845624.png">
1671375962767	1656929491595	What is the phenotypic ratio in the dihybrid cross?	9:3:3:1
1671376019651	1656929491595	State Mendel's Law of Independent Assortment.	It states that alleles of two or more different genes get sorted into gametes independently of one another.
1671376111337	1656929491595	What are Mendel's Three Laws?	1. Law of Segregation : The two alleles for each gene are placed in different gametes<br>2. Law of Independent assortment : The inheritance of one genes does not affect the inheritance of any other genes<br>3. Law of Dominance : When there two different alleles, only one is dominant and will be expressed.
1671376278652	1656929491595	What did Walther Flemming discover?	He discovered chromatin.
1671376438592	1656930274284	befe2946efca4aac9a7697b841ab4c3e-oa-1		<img src="53599774.png" />	<img src="befe2946efca4aac9a7697b841ab4c3e-oa-1-Q.svg" />						<img src="befe2946efca4aac9a7697b841ab4c3e-oa-1-A.svg" />	<img src="befe2946efca4aac9a7697b841ab4c3e-oa-O.svg" />
1671376438607	1656930274284	befe2946efca4aac9a7697b841ab4c3e-oa-2		<img src="53599774.png" />	<img src="befe2946efca4aac9a7697b841ab4c3e-oa-2-Q.svg" />						<img src="befe2946efca4aac9a7697b841ab4c3e-oa-2-A.svg" />	<img src="befe2946efca4aac9a7697b841ab4c3e-oa-O.svg" />
1671376476580	1656930274284	0e0e540be7574281b1b8960b28dc9086-oa-1		<img src="38516401.png" />	<img src="0e0e540be7574281b1b8960b28dc9086-oa-1-Q.svg" />						<img src="0e0e540be7574281b1b8960b28dc9086-oa-1-A.svg" />	<img src="0e0e540be7574281b1b8960b28dc9086-oa-O.svg" />
1671376476581	1656930274284	0e0e540be7574281b1b8960b28dc9086-oa-2		<img src="38516401.png" />	<img src="0e0e540be7574281b1b8960b28dc9086-oa-2-Q.svg" />						<img src="0e0e540be7574281b1b8960b28dc9086-oa-2-A.svg" />	<img src="0e0e540be7574281b1b8960b28dc9086-oa-O.svg" />
1671376503376	1656930274284	315ce78039284821a1b6467b1da9bff9-oa-1		<img src="11176673.png" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-1-Q.svg" />						<img src="315ce78039284821a1b6467b1da9bff9-oa-1-A.svg" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-O.svg" />
1671376503378	1656930274284	315ce78039284821a1b6467b1da9bff9-oa-2		<img src="11176673.png" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-2-Q.svg" />						<img src="315ce78039284821a1b6467b1da9bff9-oa-2-A.svg" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-O.svg" />
1671376503380	1656930274284	315ce78039284821a1b6467b1da9bff9-oa-3		<img src="11176673.png" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-3-Q.svg" />						<img src="315ce78039284821a1b6467b1da9bff9-oa-3-A.svg" />	<img src="315ce78039284821a1b6467b1da9bff9-oa-O.svg" />
1671379122596	1656929491595	Draw the cell cycle for a cell that undergoes only mitosis.	<img src="65535818.png">
1671379204068	1656929491595	What is the chromosome theory of inheritance?	This thery states that the individual genes are found at specific location on particular chromosomes, and that the behaviour of chromosomes during meiosis can explain why genes are inherited according to Mendel's Laws.
1671379397575	1656930274284	33711323fab94af0b0b2b68b731eae6e-oa-1		<img src="39126973.png" />	<img src="33711323fab94af0b0b2b68b731eae6e-oa-1-Q.svg" />						<img src="33711323fab94af0b0b2b68b731eae6e-oa-1-A.svg" />	<img src="33711323fab94af0b0b2b68b731eae6e-oa-O.svg" />
1671379405006	1656929491599	The members of {{c1::homologous chromosomes}} separate in {{c2::meiosis}}.	<img src="39126973.png">
1671379470639	1656929491595	Whose experiments proved the chromosomal theory of inheritance and suported Mendel's Laws?	Thomas Hunt Morgan's experiments with the fruit flies.
1671381385337	1656929491595	Describe Thomas Hunt Morgan's experiments.	In nature, Drosophilia have red eyes. Morgan noticed a mutation that caused white eyes. He then proceeded to mate a white eyed male with a normal female.<br><img src="93008544.png"><br>He noticed that in this case, the males and the females where inheriting the trait in different ratios. He noticed that the trait was inherited in the same pattern as the X chromosome.<br><img src="76618020.png">
1671381711162	1656929491595	How did Morgan explain the fact that the females never got the white eye genes when he crossed the white eyed male with the red eyed female? How did he disprove this?	He considered that the gene was fatal to females and that they never hatched or died early in development.<br>He then mated a heterozygous female with a white eyed male, and proceeded to get a 1:1:1:1 ratio of white eyed female to red eyed female to white eyed male to red eyed male.
1671381867511	1656929491595	Explain using a punnet square why there were no white eyed females when Morgan mated white eyed males with natural red eyed females.	<img src="83880273.png"><br>Clearly, the gene for the eye color was tied to the X chromosome. When there was a recessive X chromosome paired with a Y (i.e. in the males), that is the only time where the white eyed trait was expressed.
1671387189172	1656929491595	Who was the first scientist to make the connection between genes and proteins?	Sir Archibald Edward Garrod
1671387350179	1656929491595	How did Garrod come to associate proteins and genes?	Garrod worked with patients who had a metabolic disease called Alkaptonuria. Garrod saw that this disease often ran in families, and thus he came up with the idea that the people who had the disease inherited a recessive gene that obstructed the breakdown of Alkapton.
1671387623492	1656929491595	Describe Deadle and Tatum's experiment.	Beadle and Tatum worked with common bread mold. They wanted to see whether they could induce mutations that would make the mold unable ti survive on minimal media.<br><img src="57068039.png"><br>They were able to identify a colony that could not grow on minimal media.<br><img src="94387917.png"><br>They then transferred this colony into two tubes, one with vitamins added to the media, and the other with the 20 essential amino acids. Thus, they were able to conclude that the mold was unable to synthesize amino acid(s)<br><img src="42451403.png"><br>They were able to deduce the biochemical reactions that are required to make amino acids.
1671388043060	1656929491595	What are the three main sources of variation?	1. Mutations : Mutations in the germ line of organisms leads to changed characteristics in the offspring.<br>2. Meiosis : Crossing over in Prophase I or independent assortment in Metaphase I<br>3. Sexual reproduction : The combination of new genetic material from two distinct sources.
1671388094636	1656929491595	What is a gene mutations?	It is a change in the nucleotide sequence of a section of DNA coding for a specific trait.
1671388169468	1656929491595	What are the three kinds of genetic mutations?	1. Beneficial : Creates new variations of the trait<br>2. Detrimental : Truncates the gene sequence to abrogate the normal function of the trait<br>3. Neutral : No effect on the functioning of the specific feature.
1671388233458	1656929491595	Draw the process of the binary fission of a Prokaryotic cell.	<img src="14924051.png">
1671388410381	1656929491595	What is the interphase in the cell cycle?	It is the interval when a cell's metabolic activity is very high and the cell performs its normal functions. Typically, this phase lasts for atleast 90% of the cell's lifetime.
1671388494647	1656929491595	Describe the dividing mitotic stage of the cell cycle.	Accounts for only 10% of the total time required for the cell cucle. It is divided into two stages called cytokinesis and mitosis. Two daughter cells are formed at the end of mitosis.
1671388558459	1656929491595	Define mitosis.	It is a single cell that divides into two cells that are replicas of each other and have the same number of chromosomes.
1671388603605	1656929491595	Define meiosis.	It is cell that divides into four cells that have half the number of chromosomes. It is good for sexual reproduction and provides genetic diversity.
1671389659747	1656929491595	Name the stages of mitosis in order.	1. Prophase<br>2. Prometaphase<br>3. Metaphase<br>4. Anaphase<br>5. Telophase
1671389889965	1656929491595	Describe what happens in the cell in the Prophase of mitosis.	<img src="55463748.png"><br>Chromatin fibres become tightly coiled and folded, forming discrete chromosomes. They appear as two identical sister chromatids joined together at the centromere. IN the cytoplasm , the mitotic spindle begins to form as microtubules begin to grow rapidly out of the centrosomes, which begin to move away from each other.
1671390218716	1656929491595	Describe what happens in the Prometaphase of mitosis.	The nuclear envelope breaks into fragments and then dissapears. The microtubules extend to the nuclear region, reaching the chromosomes. Some of the microtubules attach to the kinetochore, and others touch the tubules coming from the opposite pole. The protein motors exert force and align the chromosomes along the centre of the cell.<br><img src="43307361.png">
1671390643161	1656929491595	Describe what happens in the metaphase of mitosis.	The mitotic spindle is fully formed, with its poles at the opposite ends of the cell. The chromosomes convene on the metaphase plate, an imaginary plate that is equidistant from the poles of the spindle. For each chromosome, the kinetochores of the two sister chromatids are attached to microtubules from opposite sides.
1671467038422	1656929491595	What is the main conviction that men of the enlightenment era held?	They held firmly that the human mind could comprehend the universe and subordinate it to human needs.
1671467080262	1656929491595	What was god to the Enlightenment era philosophers?	Reason
1671467173226	1656929491599	These acheivements led the Enlightenment philosophers to a new conception of the universe based on the {{c1::universal applicability of natural laws}}	
1671467216837	1656929491595	What were the twin pillar of truth for the Enlightenment philosophers?	Reasin and Observation.
1671467281639	1656929491599	If science revealed the workings of natural laws in the physical world, then perhaps similar laws could be discovered in the {{c1::social and cultural world}}.	
1671467400440	1656929491595	Why did the enlightenment philosophers analyse the institutions of their times? What conclusions did they mostly arrive at by such analysis?	They studied and analysed the political, religious, social and moral instituitions, subjecting them to merciless criticism from the standpoint of reason, and demanded change for the unreasonable ones.<br>More often then not, such an exercise led to the instituition being found to be irrational.
1671467444130	1656929491599	In the words of the Philosphes, {{c2::unreasonable instituitions}} prevent men from {{c1::realizing their potential}}.	
1671467593307	1656929491595	What was the major weapon of the&nbsp;<i>Philosophes</i>?	Criticism.
1671467740523	1656929491595	What did the&nbsp;<i>Philosophes</i>&nbsp;fight against?	They fought against what they thought was superstition, bigotry or intolerance. They also struggled against censorship, and fought for the freedom of thought. The fought the restraints that the feudal classes put on the lower classes. They also sought to secularise ethics.
1671470544516	1656929491595	What did some students of the Enlightenment argue, in opposition to the&nbsp;<i>Philosophes</i>?	They argued that the&nbsp;<i>Philosophes</i>&nbsp;were closer to Medieval Christianity than they thought. They are believed to be mordern because of their negations of the institutes of their time, but in reality they were derivatives of the centuries of philosophy before them.
1671470720421	1656929491599	The Enlightenment phiosphers had lost patience with the philosophy confined to {{c1::definite immutable axioms and deductions from them}}.	
1671470892253	1656929491595	Why does Enlightenment thinking have a negative as well as a postive side?	On one hand, Enlightenment philosophers did not believe in axiomatic truths and the deductions that we can draw from them, believing that we had to observe and reason to arrive at the truth - this was psoitive.<br>On the other hand, they also believed that the merciless criticism of the instituitions of their time was an expression of the "truth" of their thinking, and thus there was a negative critical side to them too.
1671471011392	1656929491595	The enlightment thinkings felt as if there were many forces that were impelling them along, What did they believe to be the way that they could determine the outcome of these forces?	They believed that through reason and science, man could attain a greater degree of freedom and control the outcome of the forces that impel them along.
1671471067657	1656929491599	The Enlightenment Philosophers thought that {{c2::intellectual progress}} was to constantly serve to further {{c1::man's general progress}}.	
1671471163141	1656929491599	The Enlightenment philosophers did not turn to {{c2::Descartes}}, but to {{c1::Newton}}.	This was because Newton's method was not pure deduction and hypothesis, but the analysis of data gathered through experience.
1671472766256	1656929491595	What was specific about Newton's method of scientific enquiry?	His research was based on the assumption of universal order and law in the material world -&nbsp; that order is ultimately imminent in the universe. He trusted the analysis of data that was gathered through experience over simple deduction.
1671472824511	1656929491599	The {{c2::phenomena of the real world}} was ignored by the philosophers of the {{c1::seventeenth}} century.	
1671473046745	1656929491595	Why did Condillac arfue the necessity for a new method that unites the positive and the scientific, as well as the rational?	The Philosophers of the seventeenth century failed to pay attention to the facts and the phenomena of the real world. They elevated single ideas and concepts to the status of dogma, which was a result of the rational spirit dominating knowledge completely.
1671473265929	1656929491595	What conclusion did the&nbsp;<i>Philosophes</i>&nbsp;draw from observing the practise of science?	They drew the conclusion that the synthesis of the "positive" and the "rational" was not an unattainable ideal but one that was fully realizable.
1671480446865	1656929491595	What was the definition of "Reason" for 17th century rationalist philosophers?	For them, reason was the realm of "eternal verities" - truth held in common by man and God.
1671480713642	1656929491595	What the main difference between the idea of "reason" between the 17th century and 18th century philosophers?	The 17th century philosophers considered reason as a set of "eternal truths", but the 18th century philosophers considered reason to be an acquisition instead of a collected of dogmatic truths. They considered it the original intellectual force which guides the discovery and determination of the truth.
1671480958928	1656929491595	What were the two different philosophical and intellectual groups in the 17th century?	1. Rational Philosophy : Founded by Descartes<br>2. Empirical Philosophy : Founded by Galileo
1671481241527	1656929491595	What was Locke's main theory?	He stated that the human mind does not have any innate ideas, that it is&nbsp;<i>tabula rasa</i>&nbsp;- an empty slate. Only through experience, ideas enter it. This lent great credence to the empiricist view, that knowledge could only be increased by extending the senses.
1671535465232	1656929491595	What is the main reason why earth is such a unique planet?	It is because Earth is in a special zone where the temperature and pressure conditions allow liquid water to exist - thus making it capable of harboring life as we know it.<br><br><img src="87121203.png">
1671535599611	1656929491595	Write down the names of the planets in order from the sun.	Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune<br>Pluto is not a planet any longer.
1671535840084	1656929491595	What are the systems that make up the Earth system?	1. Atmosphere<br>2. Hydrosphere (Cryosphere)<br>3. Biosphere<br>4. Geosphere
1671536137614	1656929491595	Thermodynamically, what kind of system is the earth acting as with respect to interplanetary space? Why?	It acts as a closed system. It exchanges energy with the sun and space in the form of EM radiation, but there is hardly any significant exchange of matter.
1671536385339	1656929491595	Briefly explain what the most accepted theory regarding the origin of the universe, The Big Bang, states.	It states that roughly 14bya, all mass in the universe was compressed to a single point \(10^9 \text{ kg m}^{-1}\), which then started to expand.
1671536449626	1656929491595	What is the age of the universe?	14 billion years
1671536667872	1656929491595	What were the elements that were present in the early universe, right after the big bang? How were they created?	The only elements present were H, He, and a bit of Li.<br>They was only neutrons after the Big Bang, and due to a process call \(\Beta\) decay, some of them were converted into Protons and electrons. These then formed the first H atoms, which then fused to create He and a bit of Li.
1671536790287	1656929491595	How were the elements other than H and He first created?	The elements other than H and He (and some Li), were created in the cores of the firsts stars. H and He clouds collapsed under their own gravitational force to form stars, whose cores then started heating due to compression. At temperatures around 10m K, nuclear fusion of H and He began - creating new elements.
1671536887014	1656929491595	What was the heaviest element that was created in the first stars right after the Big Bang?	Fe.<br>This is because Fe is the element that has the highest amount of Binding Energy per nucleon - the creation of any element heavier than Fe requires energy input instead of energy release. This makes them energetically unfeasible even in the cores of the biggest stars in the early universe.
1671536910296	1656929491595	How old is the sun?	4.6 billion years old.
1671537063399	1656929491595	How did the sun form?	The sun is atleast a third generation star that formed from the gravitational collapse of the material in a solar nebula.&nbsp;
1671537082288	1656929491595	How old is the earth?	The Earth is approximately 4.6 billion years old.
1671537255225	1656929491595	How was the Earth formed?	It was formed approximately 4.6 bya, when rock forming elements which were gases in the high temperature solar nebula, condensed into small solid grains as the nebula cooled. The grains then accreted to&nbsp;<b>planetesimals</b>&nbsp;such as asteroids and comets, which then accreted to form the Earth and other planets.
1671537470400	1656929491599	The {{c2::inner terrestrial planets}} build up {{c1::mostly through collisions of planetismals}}. The {{c2::giant outer plants}} form {{c1::mostly from gases on the outer edge of the disk}}.	<img src="80303748.png">
1671537527709	1656929491595	What are the three main characteristics of the inner terrestrial planets?	1. Smaller in size<br>2. Lost most of the volatiles<br>3. Rocky and metallic (Fe-Ni)
1671537548864	1656929491595	What are the three main characteristics of the outer planets?	1. Larger in size<br>2. Icy<br>3. Gaseous
1671537614682	1656929491595	What are the locations of the two main asteroid belts in the solar system?	1. Between Mars and Jupiter<br>2. Kuiper Belt : in the outer solar system.
1671537632324	1656929491595	Where are the comets in the solar system thought to come from?	Kuiper Belt.
1671537731421	1656929491595	What was the name of the event that happened right after the formation of the Earth?	The Giant impact.
1671541845769	1656929491595	What was the Giant Impact event?	After the formation of the Earth, this is a period of intense bombardment by asteroids.
1671541863136	1656929491595	What was the event that caused the creation of the Moon?	The Great Impact
1671541934786	1656929491595	How do we bracket the age of the earth?	It is bracketed by the age of the oldest known meteorite (4.56bya) and the oldest Apollo Moon Rock (4.46bya) - as the moon definitely formed after the Earth formed.
1671541987169	1656929491595	Describe the event and the following process that formed the Moon.	<img src="69899638.png"><br><br><img src="93813042.png">
1671542097323	1656929491595	What are the reasons that the Earth melted after it was formed?	It was due to the Giant Impact, and internal heating to radioactivity. Approx 70% of the Earth was molten at this point.
1671542185086	1656929491595	What is the name of the process that caused the creation of the Mantle and the crust?	Differentiation of the molten earth.
1671542206326	1656929491595	How old is the crust of the Earth?	4.4 by
1671542309944	1656929491595	What are the names of the major layers of the earth?	Crust, Mantle, outer core, inner core.<br><br><img src="27074421.png">
1671542669174	1656929491599	The geologists in the mid-twentieth cenury found that the mantle was further divided into the upper and the lower mantle - separated by a {{c1::transition zone}}.	<img src="82794548.png">
1671542751841	1656929491595	What is the reason that the density of rock changes in the transition zone of the mantle?	It changes due to the change in the compactness and the packing of the minerals that make up the rock in the mantle, not the chemical makeup.
1671542825564	1656929491599	The {{c2::two largest density jumps in the transition zone of the mantle}} is at the depths of {{c1::410}} km and {{c1::660}} km	
1671542868736	1656929491595	What are the two most dominant elements by percentage in the crust of the Earth?	1. Oxygen<br>2. Silicon
1671542910740	1656929491595	What are the three most common elements in the mantle of the Earth?	1. Oxygen<br>2. Magnesium<br>3. Silicon
1671542941156	1656929491595	What are the two most abundant elements in the core of the Earth?	Iron and Nickel, existing in the form of an alloy.
1671543119502	1656929491595	Discuss the sources of heat in the Earth System, and how they interact.	<img src="82640588.png"><br>The sun provides Earth with heat in the form of radiation. Earth also radiates out energy. The internal heat of the earth is also a source of heat - which draws from the heat that was trapped in the interior of the earth during its formation, and the heat from Radioactivity.<br>All these heat sources balance out the inflow and the outflow of energy from the planet, maintaining and equillibrium that sustains life.
1671543632003	1656929491595	What is the Asthenosphere?	It is the weak, ductile layer of mantle beneath the lithosphere that deforms to accomodate the vertical and horizontal motion of plate tectonics.
1671543734810	1656929491595	What was the reason for the late heavy bombardment?	It was due to a disturbance in the orbit of jupiter.
1671543831492	1656929491595	What is the type of evidence that was he earliest for life?	Isotopic, around 3.8 bya
1671543923588	1656929491595	Arrange in the order of decreasing density - Continental crust, Mantle, Oceanic Crust	1. Mantle (3.4 gcc)<br>2. Oceanic Crust (3 gcc)<br>3. Continental Crust (2.8 gcc)
1671543966873	1656929491595	What is the reason that the continental crust rides at a higher level than the oceanic crust on the mantle?	<img src="68256469.png">
1671544006820	1656929491595	Draw (roughly) the variation of density with depth in the interior of the earth.	<img src="85278466.png">
1671544065387	1656929491595	What is the geodynamic system?	It is the system that involves the interactions between the inner and the outer core - mainly involving the magnetic field generation.
1671544519922	1656929491595	Why is the magnetic field of the Earth important?	It is important because without the magnetic field the atmosphere of the Earth would not be protected from Solar Wind.<br><br><img src="27745323.png"><br>Mars had a cooled core and thus did not have a strong magnetic field - resulting in the early martian atmosphere being ripped out.
1671544564424	1656929491595	How is the magnetic field of the Earth caused, to the best of our understanding?	<img src="50373116.png">
1671544770136	1656929491595	What is magnetic reversal in the context of Earth? Describe the process.	It is a process that the Earth undergoes sometimes where the magnetic poles switch places, i.e. the N pole becomes the S pole and vice-versa.<br>First, the magnetic field weakens, and then the poles begin to wander - become coming to rest at the reversed positions.<br><br><img src="20017811.png">
1671544880732	1656929491595	How eas the Earth's early atmosphere formed, from the view of volcanic activity?	<img src="11758307.png"><br>A view states that the volcanic activity on earth contributed enormous amounts of water vapor, carbon dioxide, and nitrogen to the atmosphere and the ocean. Hydrogen, as it was lighter, escaped to space.
1671545170009	1656929491595	Describe the steps of Bing Bang Nucleosynthesis that lead to the formation of He	1. Only neutrons existed in the begnning<br>2. Beta-decay produces electrons and proton from the neutron<br>3. Capture of neutron by H to produce \({}^2 H\)<br>4. Collision of two \({}^2H\) to form \({}^3H + H\)<br>5. Collision between \({}^3H\) and \({}^2H\) to form He + H<br><br>Some He-3 and Li were also produced.
1671545330593	1656929491595	What is Oddo-Harkins rule?	It states that atoms with even atomic number are more stable than atoms with odd atomic number - thus making the former more abundant.
1671545401608	1656929491595	Order the stability of atomic nuclei based on even/odd number of nucleons.	Nuclei with even N + even Z<br>Nuclei with odd N + even Z<br>Nuclei with odd N + odd Z (exception is N-14)
1671545495096	1656929491595	What is the name of the process in older stars that produce more He from H?	CNO cycle<br><img alt="CNO cycle - Wikipedia" src="300px-CNO_Cycle.svg.png">
1671545604101	1656929491595	How are nuclei heavier than Fe-56 created?	They are mostly formed by neutron and proton capture by nuclei, and other non-stellar production methods like I-process (collision of high speed nuclei from supernovae) and N-nucleosynthesis from neutron star mergers.
1671545679177	1656929491595	Which one is thicker, the continental crust or the Oceanic crust?	It is the continental crust.
1671545851737	1656929491595	What is the hypocenter of an earthquake?	It is the zone at depth where the initial displacement that causes the earthquake occurs.
1671545880953	1656929491595	What is the epicenter of an earthquake?	It is the surface location directly above the hypocenter.
1671546029137	1656929491595	What characteristic of the mantle is the fundamental reason for earthquakes?	It is transport of heat in the mantle via the process of convection that is the main cause of earthquakes - as it causes the movement of plates and the stresses between them.<br><br><img src="14749859.png">
1671546234011	1656929491595	What are the two main forces that are thought to be important in driving plate tectonics?	<img src="80412662.png"><br>1. The pullling force of a sinking lithospheric slab<br>2. Pushing force of plates sliding off a mid-ocean ridge.
1671546275230	1656929491595	What are the three main kinds of plate boundaries?	<img src="69505982.png"><br><br><img src="19137429.png"><br><br><img src="89997693.png">
1671547008008	1656929491595	Describe the elastic rebound theory of earthquakes.	This thoery states that on transform plate boundaries, the lateral movement of the plates cause the interlocked rocks on either plate to bend and store elastic energy. Once the elastic strength of the rock is exceeded, slippage occurs and the stored elastic energy is released in the form of the earthquake. The rocks return to their original shapes, albeit in a new location.<br><br><img src="45057111.png">
1671547131874	1656929491595	Looking at the elastic rebound theory, it looks as if earthquakes are absolutely periodic, and that they can be predicted to reasonable accuracy. Why is this not true?	<img src="19436305.png"><br>This is due to the facts that -&nbsp;<br>1. The stress release in an earthquake is not always 100%<br>2. The local rock strength may change, resulting in the slippage occuring at higher or lower stress.<br>3. Change in the stress level due to nearby earthquakes occuring.
1671547235554	1656929491595	What is the principle that the seisomgraph uses to measure earthquakes?	It is the inertia of motion of heavy objects. It uses a pen that is made to be heavy. When the earthquake happens, the stand the paper in a seismograph moves, but the heavy pen does not move appreciably because of the high inertia it has.
